,Curves,eqTemp,eqTime,Species,Trial,OTM,Fit,Incl_eqTime
285,AP_T17_ABS,30.60077899,9,AP,T17,ABS,y,y
286,AP_T17_PLA,29.97575772,4,AP,T17,PLA,y,y
287,AP_T18_Lizard,32.70526329,54,AP,T18,Lizard,y,y
288,AP_T18_CopperPLA,32.68198567,32,AP,T18,CopperPLA,y,y
289,AP_T18_ABS,33.007798,28,AP,T18,ABS,y,y
290,AP_T18_PLA,32.80804228,34,AP,T18,PLA,y,y
291,AP_T19_Lizard,30.51729846,51,AP,T19,Lizard,y,y
292,AP_T19_CopperPLA,34.0708953,18,AP,T19,CopperPLA,y,y
293,AP_T19_ABS,33.74789579,19,AP,T19,ABS,y,y
294,AP_T19_PLA,33.69646519,16,AP,T19,PLA,y,y
295,AC_T20_Lizard,28.29176696,128,AC,T20,Lizard,y,y
296,AC_T20_CopperPLA,28.52011099,68,AC,T20,CopperPLA,y,y
297,AC_T20_ABS,28.3906275,64,AC,T20,ABS,y,y
298,AC_T20_PLA,28.18030681,71,AC,T20,PLA,y,y
299,AC_T21_Lizard,30.07265452,110,AC,T21,Lizard,y,y
300,AC_T21_CopperPLA,29.89612476,51,AC,T21,CopperPLA,y,y
301,AC_T21_ABS,31.70408759,79,AC,T21,ABS,y,y
302,AC_T21_PLA,30.89803483,81,AC,T21,PLA,y,y
303,AP_T22_Lizard,32.28525194,65,AP,T22,Lizard,y,y
304,AP_T22_CopperPLA,32.35062391,34,AP,T22,CopperPLA,y,y
305,AP_T22_ABS,31.68151469,33,AP,T22,ABS,y,y
306,AP_T22_PLA,31.69050053,30,AP,T22,PLA,y,y
307,AP_T23_Lizard,33.62702241,77,AP,T23,Lizard,y,y
308,AP_T23_CopperPLA,33.09474812,38,AP,T23,CopperPLA,y,y
309,AP_T23_ABS,32.29439803,82,AP,T23,ABS,y,y
310,AP_T23_PLA,33.06083581,65,AP,T23,PLA,y,y
311,AP_T24_Lizard,31.75804919,36,AP,T24,Lizard,y,y
312,AP_T24_CopperPLA,34.3620506,38,AP,T24,CopperPLA,y,y
313,AP_T24_ABS,33.57979585,40,AP,T24,ABS,y,y
314,AP_T24_PLA,34.07912252,40,AP,T24,PLA,y,y
315,AP_T26_Lizard,32.9485767,51,AP,T26,Lizard,y,y
316,AP_T26_CopperPLA,35.0124405,69,AP,T26,CopperPLA,y,y
317,AP_T26_ABS,32.76460649,60,AP,T26,ABS,y,y
318,AP_T26_PLA,33.68372137,58,AP,T26,PLA,y,y
319,AG_T27_Lizard,22.90124674,82,AG,T27,Lizard,y,y
320,AG_T27_CopperPLA,23.1723779,23,AG,T27,CopperPLA,y,y
321,AG_T27_ABS,22.9465035,13,AG,T27,ABS,y,y
322,AG_T27_PLA,23.01733855,13,AG,T27,PLA,y,y
323,AG_T28_Lizard,22.36617182,59,AG,T28,Lizard,y,y
324,AG_T28_CopperPLA,22.59278547,23,AG,T28,CopperPLA,y,y
325,AG_T28_ABS,22.60042784,16,AG,T28,ABS,y,y
326,AG_T28_PLA,22.5748988,14,AG,T28,PLA,y,y
327,AG_T29_Lizard,28.21659266,186,AG,T29,Lizard,y,y
328,AG_T29_CopperPLA,25.9723739,51,AG,T29,CopperPLA,y,y
329,AG_T29_ABS,25.7285896,29,AG,T29,ABS,y,y
330,AG_T29_PLA,26.18531538,30,AG,T29,PLA,y,y
331,AG_T30_Lizard,26.47764451,84,AG,T30,Lizard,y,y
332,AG_T30_CopperPLA,26.22647083,14,AG,T30,CopperPLA,y,y
333,AG_T30_ABS,25.63916639,10,AG,T30,ABS,y,y
334,AG_T30_PLA,25.63770059,12,AG,T30,PLA,y,y
335,AG_T31_Lizard,25.77152902,61,AG,T31,Lizard,y,y
336,AG_T31_CopperPLA,25.41208239,10,AG,T31,CopperPLA,y,y
337,AG_T31_ABS,26.42209526,6,AG,T31,ABS,y,y
338,AG_T31_PLA,25.56246549,8,AG,T31,PLA,y,y
339,AG_T32_Lizard,25.07686878,77,AG,T32,Lizard,y,y
340,AG_T32_CopperPLA,25.00652972,10,AG,T32,CopperPLA,y,y
341,AG_T32_ABS,25.6777724,17,AG,T32,ABS,y,y
342,AG_T32_PLA,24.62596582,5,AG,T32,PLA,y,y
343,AG_T33_Lizard,23.65791362,36,AG,T33,Lizard,y,y
344,AG_T33_CopperPLA,23.72827171,17,AG,T33,CopperPLA,y,y
345,AG_T33_ABS,23.6110668,10,AG,T33,ABS,y,y
346,AG_T33_PLA,23.21414425,11,AG,T33,PLA,y,y
347,AG_T34_Lizard,25.92635153,96,AG,T34,Lizard,y,y
348,AG_T34_CopperPLA,27.0278795,28,AG,T34,CopperPLA,y,y
349,AG_T34_ABS,27.18538477,33,AG,T34,ABS,y,y
350,AG_T34_PLA,27.18146638,34,AG,T34,PLA,y,y
351,AG_T35_Lizard,25.92635153,96,AG,T35,Lizard,y,y
352,AG_T35_CopperPLA,26.70458248,16,AG,T35,CopperPLA,y,y
353,AG_T35_ABS,26.81713288,19,AG,T35,ABS,y,y
354,AG_T35_PLA,26.97927371,12,AG,T35,PLA,y,y
355,AG_T36_Lizard,25.28404492,72,AG,T36,Lizard,y,y
356,AG_T36_CopperPLA,25.70194132,22,AG,T36,CopperPLA,y,y
357,AG_T36_ABS,25.94538749,17,AG,T36,ABS,y,y
358,AG_T36_PLA,26.01021577,6,AG,T36,PLA,y,y
359,AG_T37_Lizard,24.60764563,55,AG,T37,Lizard,y,y
360,AG_T37_CopperPLA,24.82375477,18,AG,T37,CopperPLA,y,y
361,AG_T37_ABS,24.8954275,16,AG,T37,ABS,y,y
362,AG_T37_PLA,24.85425186,15,AG,T37,PLA,y,y
363,AG_T38_Lizard,24.06834357,52,AG,T38,Lizard,y,y
364,AG_T38_CopperPLA,24.38116049,12,AG,T38,CopperPLA,y,y
365,AG_T38_ABS,24.2548193,12,AG,T38,ABS,y,y
366,AG_T38_PLA,24.44067212,13,AG,T38,PLA,y,y
367,AC_T39_Lizard,25.52576129,55,AC,T39,Lizard,y,y
368,AC_T39_CopperPLA,26.16509905,19,AC,T39,CopperPLA,y,y
369,AC_T39_ABS,26.20229515,16,AC,T39,ABS,y,y
370,AC_T39_PLA,26.21597524,16,AC,T39,PLA,y,y
371,AG_T40_Lizard,26.95588122,120,AG,T40,Lizard,y,y
372,AG_T40_CopperPLA,26.78896815,18,AG,T40,CopperPLA,y,y
373,AG_T40_ABS,26.88614368,17,AG,T40,ABS,y,y
374,AG_T40_PLA,26.91529578,16,AG,T40,PLA,y,y
375,AG_T41_Lizard,27.10079183,109,AG,T41,Lizard,y,y
376,AG_T41_CopperPLA,27.1986255,15,AG,T41,CopperPLA,y,y
377,AG_T41_ABS,27.20016475,15,AG,T41,ABS,y,y
378,AG_T41_PLA,27.14918542,17,AG,T41,PLA,y,y
379,AC_T42_Lizard,26.54696886,48,AC,T42,Lizard,y,y
380,AC_T42_CopperPLA,26.49404855,15,AC,T42,CopperPLA,y,y
381,AC_T42_ABS,27.27659391,13,AC,T42,ABS,y,y
382,AC_T42_PLA,27.04826893,14,AC,T42,PLA,y,y
