"","Curves","eqTemp","eqTime","Species","Trial","OTM"
"337","AG_T31_ABS",26.4220952556599,6,"AG","T31","ABS"
"338","AG_T31_PLA",25.5624654922143,8,"AG","T31","PLA"
"339","AG_T32_Lizard",25.076868777711,77,"AG","T32","Lizard"
"340","AG_T32_CopperPLA",25.0065297152189,10,"AG","T32","CopperPLA"
"341","AG_T32_ABS",25.6777724043158,17,"AG","T32","ABS"
"342","AG_T32_PLA",24.6259658222275,5,"AG","T32","PLA"
"343","AG_T33_Lizard",23.6579136219737,36,"AG","T33","Lizard"
"344","AG_T33_CopperPLA",23.7282717050103,17,"AG","T33","CopperPLA"
"345","AG_T33_ABS",23.6110667982949,10,"AG","T33","ABS"
"346","AG_T33_PLA",23.2141442481486,11,"AG","T33","PLA"
"347","AG_T34_Lizard",25.9263515277801,96,"AG","T34","Lizard"
"348","AG_T34_CopperPLA",27.0278794988478,28,"AG","T34","CopperPLA"
"349","AG_T34_ABS",27.1853847749433,33,"AG","T34","ABS"
"350","AG_T34_PLA",27.1814663752723,34,"AG","T34","PLA"
"351","AG_T35_Lizard",25.9263515277801,96,"AG","T35","Lizard"
"352","AG_T35_CopperPLA",26.7045824792664,16,"AG","T35","CopperPLA"
"353","AG_T35_ABS",26.8171328779218,19,"AG","T35","ABS"
"354","AG_T35_PLA",26.9792737082624,12,"AG","T35","PLA"
"355","AG_T36_Lizard",25.284044917062,72,"AG","T36","Lizard"
"356","AG_T36_CopperPLA",25.7019413194525,22,"AG","T36","CopperPLA"
"357","AG_T36_ABS",25.9453874894959,17,"AG","T36","ABS"
"358","AG_T36_PLA",26.010215772332,6,"AG","T36","PLA"
"359","AG_T37_Lizard",24.6076456261546,55,"AG","T37","Lizard"
"360","AG_T37_CopperPLA",24.8237547724937,18,"AG","T37","CopperPLA"
"361","AG_T37_ABS",24.8954275025826,16,"AG","T37","ABS"
"362","AG_T37_PLA",24.8542518648934,15,"AG","T37","PLA"
"363","AG_T38_Lizard",24.0683435659996,52,"AG","T38","Lizard"
"364","AG_T38_CopperPLA",24.3811604856795,12,"AG","T38","CopperPLA"
"365","AG_T38_ABS",24.254819300611,12,"AG","T38","ABS"
"366","AG_T38_PLA",24.4406721200295,13,"AG","T38","PLA"
"367","AC_T39_Lizard",25.5257612895996,55,"AC","T39","Lizard"
"368","AC_T39_CopperPLA",26.1650990471003,19,"AC","T39","CopperPLA"
"369","AC_T39_ABS",26.2022951479431,16,"AC","T39","ABS"
"370","AC_T39_PLA",26.2159752382977,16,"AC","T39","PLA"
"371","AG_T40_Lizard",26.9558812186613,120,"AG","T40","Lizard"
"372","AG_T40_CopperPLA",26.7889681457499,18,"AG","T40","CopperPLA"
"373","AG_T40_ABS",26.8861436762094,17,"AG","T40","ABS"
"374","AG_T40_PLA",26.915295781789,16,"AG","T40","PLA"
"375","AG_T41_Lizard",27.1007918259136,109,"AG","T41","Lizard"
"376","AG_T41_CopperPLA",27.1986254989587,15,"AG","T41","CopperPLA"
